,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,Area (km2)
0,Hanoi,Hanoi,21.0245,105.8412,Vietnam,VN,VNM,Hà Nội,primary,7785000.0,1704413791,3324.92
1,Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,VNM,Hồ Chí Minh,admin,13312000.0,1704774326,2095.0
2,Haiphong,Haiphong,20.8,106.6667,Vietnam,VN,VNM,Hải Phòng,admin,2103500.0,1704000623,1507.57
3,Cần Thơ,Can Tho,10.0333,105.7833,Vietnam,VN,VNM,Cần Thơ,admin,1237300.0,1704783472,1389.6
4,Đà Nẵng,Da Nang,16.0748,108.224,Vietnam,VN,VNM,Đà Nẵng,admin,887069.0,1704949870,1255.53
5,Phú Quốc,Phu Quoc,10.2289,103.9572,Vietnam,VN,VNM,Kiến Giang,minor,70000.0,1704992616,574.0
6,Cẩm Phả,Cam Pha,21.0071,107.2845,Vietnam,VN,VNM,Quảng Ninh,minor,156000.0,1704985016,486.4
7,Kon Tum,Kon Tum,14.3417,107.9792,Vietnam,VN,VNM,Kon Tum,admin,137662.0,1704988146,432.98
8,Đà Lạt,Da Lat,11.9359,108.4429,Vietnam,VN,VNM,Lâm Đồng,admin,256393.0,1704933464,393.29
9,Buôn Ma Thuột,Buon Ma Thuot,12.6667,108.05,Vietnam,VN,VNM,Đắk Lắk,admin,340000.0,1704542086,370.0
10,Cam Ranh,Cam Ranh,11.902,109.2207,Vietnam,VN,VNM,Khánh Hòa,admin,146771.0,1704104189,325.0
11,Sơn La,Son La,21.327,103.9141,Vietnam,VN,VNM,Sơn La,admin,19054.0,1704957010,324.93
12,Cam Ranh,Cam Ranh,11.9136,109.1369,Vietnam,VN,VNM,Khánh Hòa,minor,125311.0,1704516746,316.0
13,Gia Nghĩa,Gia Nghia,12.0042,107.6907,Vietnam,VN,VNM,Đắk Nông,admin,57856.0,1704361005,286.6
14,Quy Nhơn,Quy Nhon,13.7765,109.2237,Vietnam,VN,VNM,Bình Định,admin,311000.0,1704056461,284.28
15,Biên Hòa,Bien Hoa,10.9575,106.8426,Vietnam,VN,VNM,Đồng Nai,admin,1104000.0,1704863046,264.07
16,Pleiku,Pleiku,13.9833,108.0,Vietnam,VN,VNM,Gia Lai,admin,142900.0,1704220080,260.61
17,Nha Trang,Nha Trang,12.25,109.1833,Vietnam,VN,VNM,Khánh Hòa,admin,392279.0,1704497901,251.0
18,Cà Mau,Ca Mau,9.1833,105.15,Vietnam,VN,VNM,Cà Mau,admin,315270.0,1704320474,250.3
19,Lào Cai,Lao Cai,22.4194,103.995,Vietnam,VN,VNM,Lào Cai,admin,67206.0,1704290986,221.5
20,Sóc Trăng,Soc Trang,9.6,105.9719,Vietnam,VN,VNM,Sóc Trăng,admin,300000.0,1704758756,221.0
21,Tuy Hòa,Tuy Hoa,13.0875,109.3106,Vietnam,VN,VNM,Phú Yên,admin,242840.0,1704697424,212.62
22,Hạ Long,Ha Long,20.95,107.0833,Vietnam,VN,VNM,Quảng Ninh,admin,172915.0,1704379547,208.7
23,Phan Thiết,Phan Thiet,10.9375,108.1583,Vietnam,VN,VNM,Bình Thuận,admin,205333.0,1704221456,206.0
24,Thái Nguyên,Thai Nguyen,21.6,105.85,Vietnam,VN,VNM,Thái Nguyên,admin,330000.0,1704613715,189.7
25,Bạc Liêu,Bac Lieu,9.2833,105.7167,Vietnam,VN,VNM,Bạc Liêu,admin,225000.0,1704298745,175.4
26,Đồng Hới,Dong Hoi,17.4833,106.6,Vietnam,VN,VNM,Quảng Bình,admin,160325.0,1704323043,155.54
27,Đồng Xoài,Dong Xoai,11.5349,106.8832,Vietnam,VN,VNM,Bình Phước,admin,150052.0,1704845487,150.05
28,Hòa Bình,Hoa Binh,20.8172,105.3375,Vietnam,VN,VNM,Hòa Bình,admin,121309.0,1704237072,148.2
29,Tây Ninh,Tay Ninh,11.3131,106.0963,Vietnam,VN,VNM,Tây Ninh,admin,126370.0,1704250951,140.0
30,Hà Giang,Ha Giang,22.8233,104.9836,Vietnam,VN,VNM,Hà Giang,admin,38362.0,1704495953,135.3
31,Bình Long,Binh Long,11.6504,106.6,Vietnam,VN,VNM,Bình Phước,admin,40279.0,1704953411,126.3
32,Tuyên Quang,Tuyen Quang,21.8281,105.2156,Vietnam,VN,VNM,Tuyên Quang,admin,36430.0,1704662313,119.17
33,Thủ Dầu Một,Thu Dau Mot,11.0042,106.6583,Vietnam,VN,VNM,Bình Dương,admin,244277.0,1704890399,118.7
34,Vị Thanh,Vi Thanh,9.7833,105.4708,Vietnam,VN,VNM,Hậu Giang,admin,97200.0,1704210026,118.0
35,Sơn Tây,Son Tay,21.1382,105.505,Vietnam,VN,VNM,Hà Nội,minor,189547.0,1704714941,113.5
36,Việt Trì,Viet Tri,21.3228,105.4019,Vietnam,VN,VNM,Phú Thọ,admin,277539.0,1704332956,110.99
37,Yên Bái,Yen Bai,21.7,104.8667,Vietnam,VN,VNM,Yên Bái,admin,96540.0,1704249231,108.16
38,Cao Lãnh,Cao Lanh,10.4603,105.6331,Vietnam,VN,VNM,Đồng Tháp,admin,149837.0,1704276832,107.2
39,Long Xuyên,Long Xuyen,10.3686,105.4234,Vietnam,VN,VNM,An Giang,admin,278658.0,1704453892,106.87
40,Châu Đốc,Chau Doc,10.7,105.1167,Vietnam,VN,VNM,An Giang,admin,157298.0,1704020910,105.3
41,Vinh,Vinh,18.6733,105.6922,Vietnam,VN,VNM,Nghệ An,admin,490000.0,1704960059,104.98
42,Rạch Giá,Rach Gia,10.0125,105.0808,Vietnam,VN,VNM,Kiến Giang,admin,250660.0,1704872008,97.75
43,Tam Kỳ,Tam Ky,15.5667,108.4833,Vietnam,VN,VNM,Quảng Nam,admin,120256.0,1704410655,92.63
44,Lai Châu,Lai Chau,22.3991,103.4393,Vietnam,VN,VNM,Lai Châu,admin,42973.0,1704983526,92.37
45,Vũng Tàu,Vung Tau,10.4042,107.1417,Vietnam,VN,VNM,Bà Rịa-Vũng Tàu,admin,327000.0,1704581438,91.46
46,Huế,Hue,16.4667,107.5833,Vietnam,VN,VNM,Thừa Thiên-Huế,admin,455230.0,1704016023,83.3
47,Tân An,Tan An,10.5322,106.4042,Vietnam,VN,VNM,Long An,admin,137498.0,1704199290,81.79
48,Bắc Ninh,Bac Ninh,21.1861,106.0763,Vietnam,VN,VNM,Bắc Ninh,admin,520000.0,1704025181,80.28
49,Mỹ Tho,My Tho,10.35,106.35,Vietnam,VN,VNM,Tiền Giang,admin,124143.0,1704000376,79.8
50,Phan Rang-Tháp Chàm,Phan Rang-Thap Cham,11.5643,108.9886,Vietnam,VN,VNM,Ninh Thuận,admin,179773.0,1704094609,79.37
51,Lạng Sơn,Lang Son,21.8478,106.7578,Vietnam,VN,VNM,Lạng Sơn,admin,148000.0,1704004349,79.0
52,Sa Đéc,Sa Dec,10.3105,105.7397,Vietnam,VN,VNM,Đồng Tháp,minor,213610.0,1704983576,76.15
53,Quảng Trị,Quang Tri,16.7504,107.2,Vietnam,VN,VNM,Quảng Trị,admin,72722.0,1704089491,74.0
54,Cao Bằng,Cao Bang,22.6731,106.25,Vietnam,VN,VNM,Cao Bằng,admin,41112.0,1704552735,73.55
55,Đông Hà,Dong Ha,16.8056,107.0906,Vietnam,VN,VNM,Quảng Trị,admin,17662.0,1704264596,73.06
56,Hải Dương,Hai Duong,20.9411,106.3331,Vietnam,VN,VNM,Hải Dương,admin,507469.0,1704909566,71.39
57,Trà Vinh,Tra Vinh,9.9369,106.3411,Vietnam,VN,VNM,Trà Vinh,admin,131360.0,1704929966,68.03
58,Thái Bình,Thai Binh,20.4461,106.3422,Vietnam,VN,VNM,Thái Bình,admin,268167.0,1704716027,67.69
59,Bến Tre,Ben Tre,10.2333,106.3833,Vietnam,VN,VNM,Bến Tre,admin,59442.0,1704108909,67.48
60,Hội An,Hoi An,15.8733,108.3327,Vietnam,VN,VNM,Quảng Nam,admin,121716.0,1704897050,61.47
61,Điện Biên Phủ,Dien Bien Phu,21.3833,103.0169,Vietnam,VN,VNM,Điện Biên,admin,70639.0,1704081536,60.09
62,Thanh Hóa,Thanh Hoa,19.8075,105.7764,Vietnam,VN,VNM,Thanh Hóa,admin,393294.0,1704016079,57.8
63,Hà Tĩnh,Ha Tinh,18.3428,105.9058,Vietnam,VN,VNM,Hà Tĩnh,admin,165396.0,1704544061,56.19
64,Vĩnh Yên,Vinh Yen,21.31,105.5967,Vietnam,VN,VNM,Vĩnh Phúc,admin,122568.0,1704905946,50.8
65,Ninh Bình,Ninh Binh,20.2539,105.975,Vietnam,VN,VNM,Ninh Bình,admin,130517.0,1704442748,48.3
66,Vĩnh Long,Vinh Long,10.255,105.9753,Vietnam,VN,VNM,Vĩnh Long,admin,103314.0,1704262419,48.01
67,Hưng Yên,Hung Yen,20.6464,106.0511,Vietnam,VN,VNM,Hưng Yên,admin,121486.0,1704000203,46.8
68,Nam Định,Nam Dinh,20.42,106.1683,Vietnam,VN,VNM,Nam Định,admin,352108.0,1704906277,46.4
69,Bắc Kạn,Bac Kan,22.1333,105.8333,Vietnam,VN,VNM,Bắc Kạn,admin,29227.0,1704000217,45.04
70,Quảng Ngãi,Quang Ngai,15.1206,108.7922,Vietnam,VN,VNM,Quảng Ngãi,admin,260252.0,1704029499,37.12
71,Phủ Lý,Phu Ly,20.5453,105.9122,Vietnam,VN,VNM,Hà Nam,admin,121350.0,1704841896,34.27
72,Bắc Giang,Bac Giang,21.2731,106.1947,Vietnam,VN,VNM,Bắc Giang,admin,53728.0,1704256754,32.21
